,costituency,name,party,twitter_id
0,Wokingham,John Redwood,Conservative,@johnredwood
0,Carlisle,John Stevenson MP,Conservative,@John4Carlisle
0,Huntingdon,Jonathan Djanogly,Conservative,@JDjanogly
0,Cardiff North,Jonathan Evans MP,Conservative,@JonathanEvansCN
0,Skipton and Ripon,Julian Smith MP,Conservative,@VoteJulianSmith
0,North Swindon,Justin Tomlinson MP,Conservative,@JTomlinsonMP
0,Staffordshire Moorlands,Karen Bradley,Conservative,@karen__bradley
0,Lincoln,Karl McCartney,Conservative,@karlmccartney
0,Spelthorne,Kwasi Kwarteng,Conservative,@kwasikwarteng
0,South Thanet,Laura Sandys MP,Conservative,@Laura_Sandys
0,Basingstoke,Maria_MillerMP,Conservative,@Maria_MillerMP
0,Cities of London and Westminster,Mark Field MP,Conservative,@MarkFieldMP
0,Wyre Forest,Mark Garnier,Conservative,@Mark4WyreForest
0,Forest of Dean,Mark Harper,Conservative,@Mark_J_Harper
0,Rugby,Mark Pawsey,Conservative,@MarkPawsey
0,Hertford and Stortford,Mark Prisk,Conservative,@Mark_Prisk
0,"Wrekin, The",Mark Pritchard,Conservative,@MPritchardMP
0,Rochester and Strood,Mark Reckless MP,Conservative,@MarkReckless
0,Boston and Skegness,Mark Simmonds MP,Conservative,@MarkJSimmonds
0,Sherwood,MarkSpencerMP,Conservative,@Mark_Spencer
0,Cleethorpes,Martin Vickers,Conservative,@martinvickersmp
0,Brentford and Isleworth,Mary Macleod,Conservative,@MaryMacleod4MP
0,West Suffolk,Matthew Hancock,Conservative,@MattHancock2015
0,Hendon,Matthew Offord,Conservative,@Offord4Hendon
0,Northampton North,Michael Ellis,Conservative,@Michael_Ellis1
0,Lichfield,Michael Fabricant,Conservative,@Mike_Fabricant
0,Finchley and Golders Green,Mike Freer MP,Conservative,@Freer4FGG
0,Hove,Mike Weatherley MP,Conservative,@Hove_business
0,Ruislip - Northwood,Minister Civ Soc,Conservative,@nickhurdmp
0,Stratford-on-Avon,Nadhim Zahawi,Conservative,@nadhimzahawi
0,Mid Bedfordshire,Nadine Dorries MP,Conservative,@NadineDorriesMP
0,Stroud,Neil Carmichael,Conservative,@stroud_neil
0,Arundel and South Downs,Nick Herbert,Conservative,@nickherbertmp
0,Enfield North,Nick de Bois MP,Conservative,@nickdebois
0,Loughborough,Nicky Morgan MP,Conservative,@NickyMorgan01
0,Oxford West and Abingdon,Nicola Blackwood,Conservative,@nicolablackwood
0,Selby,Nigel Adams,Conservative,@nigel4selby
0,"Plymouth, Sutton and Devonport",Oliver Colvile MP,Conservative,@olivercolvile
0,Wolverhampton South West,Paul Uppal,Conservative,@PaulUppalWSW
0,Mid Derbyshire,Pauline Latham MP,Conservative,@Pauline_Latham
